baseline_model,representation,subset,MAE,relative_MAE_improvement_vs_baseline_%
mace-mpa-0,MDS_32_cos_zscore,all,0.0195081841331791,-0.00524193398857657
mace-mpa-0,MDS_E_32_cos_zscore,all,0.019508191323612,-0.005278794466041093
mattersim-v1-5m,mat2vec+S64,all,0.0163051309386466,0.7424306694797865
mattersim-v1-5m,mat2vec+H64,all,0.0163070472180442,0.730765308687553
mattersim-v1-5m,MDS_F_64_cos_zscore,all,0.0163076808093811,0.7269083181312579
mattersim-v1-5m,mat2vec+S32,all,0.0163113656802368,0.7044766476460619
mattersim-v1-5m,mat2vec+H32,all,0.0163130531530272,0.6942041482643135
mattersim-v1-5m,mat2vec+L64,all,0.0163140448237624,0.6881673475098503
mattersim-v1-5m,mat2vec+L32,all,0.0163164930395921,0.6732638209226119
mattersim-v1-5m,mat2vec,all,0.0163204719237585,0.649042342880468
mattersim-v1-5m,MDS_64_cos_zscore,all,0.0163278973098702,0.6038402663340576
mattersim-v1-5m,MDS_E_64_cos_zscore,all,0.0163329599642637,0.5730213314018412
mattersim-v1-5m,MDS_32_cos_zscore,all,0.0163416604550613,0.5200570484530188
mattersim-v1-5m,MDS_F_32_cos_zscore,all,0.0163498326317973,0.47030888009993055
mattersim-v1-5m,MDS_E_32_cos_zscore,all,0.0163755695219726,0.31363542739726474
mattersim-v1-5m,mattersim-v1-5m-baseline,all,0.0164270906980925,0.0
orb-v3,orb-v3-baseline,all,0.0114257022736818,0.0
orb-v3,MDS_E_32_cos_zscore,all,0.0114283247124425,-0.022952101305310814
orb-v3,mat2vec+S64,all,0.0114285198693694,-0.024660153223918315
orb-v3,mat2vec+H64,all,0.0114286082089684,-0.025433318819209242
orb-v3,MDS_64_cos_zscore,all,0.0114287407102033,-0.02659299576270814
orb-v3,MDS_F_64_cos_zscore,all,0.011428773803542,-0.02688263519061291
orb-v3,mat2vec+L64,all,0.0114288694698161,-0.027719925291553052
orb-v3,MDS_F_32_cos_zscore,all,0.0114290158139975,-0.029000758433310708
orb-v3,MDS_32_cos_zscore,all,0.0114291236067982,-0.029944182286981147
orb-v3,mat2vec+L32,all,0.0114292494233555,-0.031045353613586388
orb-v3,mat2vec,all,0.0114293139629688,-0.031610217039514776
orb-v3,mat2vec+H32,all,0.0114293365600862,-0.031807991468238886
orb-v3,mat2vec+S32,all,0.0114294262578897,-0.03259304433721964
orb-v3,MDS_E_64_cos_zscore,all,0.0114301429950662,-0.03886606948116121
sevennet-l3i5,mat2vec+S64,all,0.0342129003817475,4.0628805927095435
sevennet-l3i5,mat2vec+H32,all,0.0342275895058805,4.021690508261513
sevennet-l3i5,mat2vec+S32,all,0.0342490221517055,3.9615907716480083
sevennet-l3i5,mat2vec+L32,all,0.0342555531651396,3.9432770183945136
sevennet-l3i5,mat2vec+L64,all,0.034263704200841,3.9204205263504788
sevennet-l3i5,mat2vec+H64,all,0.0342690181076966,3.9055196874611617
sevennet-l3i5,mat2vec,all,0.0343090777610989,3.7931875639349895
sevennet-l3i5,MDS_E_64_cos_zscore,all,0.0349665056656138,1.9496800368508613
sevennet-l3i5,MDS_64_cos_zscore,all,0.0350342637000297,1.7596782958108355
sevennet-l3i5,MDS_F_64_cos_zscore,all,0.0351462195175609,1.4457406139719022
sevennet-l3i5,MDS_32_cos_zscore,all,0.0353433908977391,0.8928481660124868
sevennet-l3i5,MDS_F_32_cos_zscore,all,0.0353538899879621,0.8634074444965403
sevennet-l3i5,MDS_E_32_cos_zscore,all,0.0354345728085642,0.6371630364559385
sevennet-l3i5,sevennet-l3i5-baseline,all,0.0356617965946011,0.0
