baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
mattersim-v1-5m,crabnet_frontend,full,4,mat2vec+L32,train,unique_prototype,173469,0.2,1000.0,1000.0,0.016726539236767323,0,256963,205571,51392,mattersim-v1-5m-baseline,0.016321097883039884,0.04073832011560594,0.9979143956013842,0.016418437447450085,0.04117538464858985,0.9978694043745981,-9.733956441020097e-05,-0.0004370645329839079,4.4991226786028626e-05,0.8764655418930513,6.230881690834701,0.8768081841432225,6.245192384901013,-0.0003426422501712212,-0.014310694066312024
mattersim-v1-5m,crabnet_frontend,full,4,mat2vec+L32,test,all,51392,0.2,1000.0,1000.0,0.016726539236767323,0,256963,205571,51392,mattersim-v1-5m-baseline,0.016489594039789238,0.046443262693993195,0.9976244920967939,0.016606060463789884,0.04680260553569,0.9975875901200378,-0.00011646642400064619,-0.0003593428416968081,3.690197675609852e-05,0.8637039484553114,4.900082712044634,0.8635937068727574,4.912594849465131,0.00011024158255401595,-0.012512137420496394
mattersim-v1-5m,crabnet_frontend,full,4,mat2vec+L32,test,unique_prototype,42019,0.2,1000.0,1000.0,0.016726539236767323,0,256963,205571,51392,mattersim-v1-5m-baseline,0.01639475970091446,0.04040223506883502,0.9981176083565196,0.016478236308936734,0.04074937254958422,0.998085122236912,-8.347660802227388e-05,-0.00034713748074919476,3.248611960759984e-05,0.88181216444804,5.459579946994131,0.881875829523669,5.475329764182446,-6.36650756290491e-05,-0.015749817188314807
mattersim-v1-5m,crabnet_frontend,full,0,mat2vec+L64,train,all,205570,0.3,1000.0,1000.0,0.016348940086227868,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016287103808093718,0.042690739499584573,0.9977479722968472,0.016451740039313364,0.043324609886938405,0.9976805997765407,-0.00016463623121964685,-0.0006338703873538312,6.737252030653007e-05,0.8579126617724968,5.3556442985692705,0.8575560155869459,5.387247764430147,0.00035664618555086847,-0.03160346586087659
mattersim-v1-5m,crabnet_frontend,full,0,mat2vec+L64,train,unique_prototype,171551,0.3,1000.0,1000.0,0.016348940086227868,0,256963,205570,51393,mattersim-v1-5m-baseline,0.01631612463302309,0.03992723532347073,0.9979805252050209,0.016437795783463823,0.04052264265113094,0.9979198460501828,-0.00012167115044073307,-0.0005954073276602107,6.067915483809472e-05,0.8782292202397437,5.976454998838383,0.8773742350790749,5.999993964913958,0.0008549851606688419,-0.023538966075575374
mattersim-v1-5m,crabnet_frontend,full,0,mat2vec+L64,test,all,51393,0.3,1000.0,1000.0,0.016348940086227868,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016257972647155082,0.04310186491089221,0.9980648205511611,0.016328494292458334,0.04376482273169196,0.9980048320128144,-7.052164530325228e-05,-0.0006629578207997464,5.998853834665585e-05,0.8591910555738244,5.820443757263004,0.8587622750939168,5.831021912530438,0.0004287804799075756,-0.010578155267433331
mattersim-v1-5m,crabnet_frontend,full,0,mat2vec+L64,test,unique_prototype,43937,0.3,1000.0,1000.0,0.016348940086227868,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016379921627428386,0.042629909374035074,0.9979794805526279,0.016400041709446013,0.043246408059306136,0.9979206179062428,-2.0120082017627272e-05,-0.0006164986852710622,5.8862646385104966e-05,0.8800858298258645,6.397815799053513,0.8801321767864518,6.405155789689734,-4.634696058736232e-05,-0.007339990636221039
mattersim-v1-5m,crabnet_frontend,full,1,mat2vec+L64,train,all,205570,0.25,3162.2776601683795,3162.2776601683795,0.016196431111172114,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016122696623550325,0.04205023443417648,0.9979446521817877,0.016274256317941185,0.04259536781460774,0.9978910162710773,-0.0001515596943908598,-0.0005451333804312591,5.363591071039231e-05,0.8606335525818402,5.36514537487835,0.8598272695536026,5.382996705245075,0.0008062830282375977,-0.01785133036672537
mattersim-v1-5m,crabnet_frontend,full,1,mat2vec+L64,train,unique_prototype,171918,0.25,3162.2776601683795,3162.2776601683795,0.016196431111172114,0,256963,205570,51393,mattersim-v1-5m-baseline,0.01619279008224676,0.03979015620263998,0.9980923587011007,0.01630695027549428,0.04030272114263719,0.9980428948164672,-0.00011416019324752072,-0.0005125649399972121,4.946388463344942e-05,0.8806581122569472,5.974307352336762,0.879643153199384,5.9864956919614425,0.001014959057563214,-0.012188339624680466
mattersim-v1-5m,crabnet_frontend,full,1,mat2vec+L64,test,all,51393,0.25,3162.2776601683795,3162.2776601683795,0.016196431111172114,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016968125930017335,0.04597576369869275,0.9971692430389085,0.017038422271025058,0.04654012377276647,0.997099320485235,-7.0296341007723e-05,-0.0005643600740737192,6.992255367355149e-05,0.8471481876332623,5.829146838536698,0.8487922060589883,5.8503080867061925,-0.0016440184257260348,-0.02116124816949494
