baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
mace-mpa-0,crabnet_frontend,full,1,mat2vec+H32,train,all,205570,0.1,1000.0,1000.0,0.02019542131887742,0,256963,205570,51393,mace-mpa-0-baseline,0.019566544772478756,0.04354757165127077,0.9977956712327275,0.019595247144966122,0.04376629801923782,0.9977734722608429,-2.8702372487365846e-05,-0.00021872636796705508,2.2198971884601626e-05,0.8588057644661418,5.178626194351943,0.8587994143484627,5.171565513176814,6.350117679021494e-06,0.0070606811751288134
mace-mpa-0,crabnet_frontend,full,1,mat2vec+H32,train,unique_prototype,171918,0.1,1000.0,1000.0,0.02019542131887742,0,256963,205570,51393,mace-mpa-0-baseline,0.02016698054852185,0.04230002077057903,0.9978441100442269,0.020193130592634917,0.04251106983353369,0.9978225434531343,-2.6150044113066456e-05,-0.0002110490629546602,2.156659109264769e-05,0.8749207325275274,5.784580969328481,0.8748224636290354,5.776581989741389,9.826889849207099e-05,0.007998979587092059
mace-mpa-0,crabnet_frontend,full,1,mat2vec+H32,test,all,51393,0.1,1000.0,1000.0,0.02019542131887742,0,256963,205570,51393,mace-mpa-0-baseline,0.019137401192320148,0.042575886660546645,0.9975724282094247,0.019154822751286594,0.042838748272220645,0.9975423602375495,-1.742155896644615e-05,-0.0002628616116739993,3.0067971875213928e-05,0.8540720363380462,5.619924533887946,0.8538034106150604,5.608350775544377,0.00026862572298580467,0.011573758343569551
mace-mpa-0,crabnet_frontend,full,1,mat2vec+H32,test,unique_prototype,43570,0.1,1000.0,1000.0,0.02019542131887742,0,256963,205570,51393,mace-mpa-0-baseline,0.0195534734963145,0.04231419768417619,0.9975480717846956,0.019561538902535206,0.04255199943089568,0.9975204351402042,-8.065406220704452e-06,-0.00023780174671948762,2.763664449145775e-05,0.8684818481848184,6.251060873943955,0.8687134743600297,6.23681912225787,-0.0002316261752112192,0.014241751686085102
mace-mpa-0,crabnet_frontend,full,2,mat2vec+H32,train,all,205570,0.1,1000.0,1000.0,0.019248845384725124,0,256963,205570,51393,mace-mpa-0-baseline,0.019488572256811013,0.043047493216691816,0.9978680241532568,0.019517349910941326,0.04326715190608121,0.997846210951062,-2.877765413031308e-05,-0.00021965868938939037,2.181320219485361e-05,0.8601063518962192,5.168497819497237,0.8598100850387269,5.158462942273946,0.00029626685749228887,0.01003487722329055
mace-mpa-0,crabnet_frontend,full,2,mat2vec+H32,train,unique_prototype,173037,0.1,1000.0,1000.0,0.019248845384725124,0,256963,205570,51393,mace-mpa-0-baseline,0.020001968857318055,0.041809750584230546,0.9979077626205489,0.02002687803928593,0.04202082598881849,0.9978865840869215,-2.4909181967874838e-05,-0.00021107540458794455,2.1178533627375096e-05,0.8761269793166149,5.746898772464065,0.8760308693349474,5.7380330880410275,9.61099816674249e-05,0.008865684423037479
mace-mpa-0,crabnet_frontend,full,2,mat2vec+H32,test,all,51393,0.1,1000.0,1000.0,0.019248845384725124,0,256963,205570,51393,mace-mpa-0-baseline,0.019451630278911634,0.04459680338689906,0.9972042801893325,0.019466408655952144,0.044821047465601505,0.9971760943225766,-1.4778377040509938e-05,-0.00022424407870244578,2.8185866755903177e-05,0.8495644259524119,5.679378374342598,0.8492207792207792,5.6701755872527,0.0003436467316326741,0.009202787089897413
mace-mpa-0,crabnet_frontend,full,2,mat2vec+H32,test,unique_prototype,42451,0.1,1000.0,1000.0,0.019248845384725124,0,256963,205570,51393,mace-mpa-0-baseline,0.020210783337221448,0.044288367709146986,0.9972320712514195,0.020222562010886645,0.04449365679106555,0.9972063515184981,-1.1778673665197026e-05,-0.00020528908191856654,2.5719732921425376e-05,0.8632245580086199,6.452034511856785,0.8626899762804181,6.439637806074827,0.0005345817282017551,0.012396705781958062
mace-mpa-0,crabnet_frontend,full,3,mat2vec+H32,train,all,205571,0.05,1000.0,1000.0,0.01887064225982236,0,256963,205571,51392,mace-mpa-0-baseline,0.019713624411555126,0.04463268453157077,0.9976222991225897,0.019728411988823254,0.044759718003630045,0.9976087450446832,-1.4787577268127877e-05,-0.00012703347205927223,1.3554077906485773e-05,0.8563076781806217,5.390326438480135,0.8562122486428626,5.385094614941237,9.542953775909524e-05,0.0052318235388977286
mace-mpa-0,crabnet_frontend,full,3,mat2vec+H32,train,unique_prototype,171977,0.05,1000.0,1000.0,0.01887064225982236,0,256963,205571,51392,mace-mpa-0-baseline,0.020259690093654324,0.04326635619792283,0.997680327705332,0.020271723747950735,0.04338665994650407,0.9976674098969984,-1.203365429641029e-05,-0.00012030374858124082,1.2917808333567926e-05,0.8716578614330769,6.026801314380831,0.8717104602846416,6.0225762689770095,-5.259885156472244e-05,0.004225045403821959
mace-mpa-0,crabnet_frontend,full,3,mat2vec+H32,test,all,51392,0.05,1000.0,1000.0,0.01887064225982236,0,256963,205571,51392,mace-mpa-0-baseline,0.018607561502514636,0.03842643779003244,0.9982481867859866,0.018622147032479233,0.038514641409800855,0.9982401353707114,-1.4585529964597499e-05,-8.820361976841218e-05,8.051415275156515e-06,0.8642521725049926,4.79758755632943,0.863700032324103,4.785045672950745,0.0005521401808896709,0.01254188337868456
mace-mpa-0,crabnet_frontend,full,3,mat2vec+H32,test,unique_prototype,43511,0.05,1000.0,1000.0,0.01887064225982236,0,256963,205571,51392,mace-mpa-0-baseline,0.01923576930302846,0.03881631786021089,0.9981765215681152,0.019250043442043258,0.03890251264682926,0.998168414212642,-1.4274139014797821e-05,-8.619478661836544e-05,8.107355473185862e-06,0.8808829654310705,5.324834890986883,0.8804212276569211,5.311182499642247,0.00046173777414937334,0.013652391344635362
mace-mpa-0,crabnet_frontend,full,4,mat2vec+H32,train,all,205571,0.1,1000.0,1000.0,0.019449267257230278,0,256963,205571,51392,mace-mpa-0-baseline,0.019449630018938374,0.04285058397556517,0.9977595361752797,0.01947802883368773,0.043097805124088596,0.9977336094415691,-2.8398814749357182e-05,-0.0002472211485234285,2.5926733710601724e-05,0.855862354764938,5.403572529375913,0.8550495838634031,5.39066271838704,0.000812770901534865,0.012909810988873005
mace-mpa-0,crabnet_frontend,full,4,mat2vec+H32,train,unique_prototype,173469,0.1,1000.0,1000.0,0.019449267257230278,0,256963,205571,51392,mace-mpa-0-baseline,0.02005999733502276,0.042876460040438685,0.9976897257094427,0.020084881904620714,0.043109363073596876,0.9976645589267792,-2.488456959795493e-05,-0.00023290303315819105,2.5166782663510467e-05,0.8713001273074474,6.018038130197736,0.8708985461190116,6.005660429496743,0.0004015811884358067,0.012377700700993088
mace-mpa-0,crabnet_frontend,full,4,mat2vec+H32,test,all,51392,0.1,1000.0,1000.0,0.019449267257230278,0,256963,205571,51392,mace-mpa-0-baseline,0.019609411449109847,0.045295581435808314,0.997740446057979,0.019623694269099018,0.04546902597735374,0.9977231084888291,-1.4282819989171192e-05,-0.00017344454154542832,1.7337569149900034e-05,0.8668449197860962,4.766089901035923,0.867692636528802,4.767055652301554,-0.0008477167427057841,-0.0009657512656309208
mace-mpa-0,crabnet_frontend,full,4,mat2vec+H32,test,unique_prototype,42019,0.1,1000.0,1000.0,0.019449267257230278,0,256963,205571,51392,mace-mpa-0-baseline,0.019977044948904454,0.03982038150596917,0.9981714365401045,0.01998511378413141,0.03999152358553475,0.9981556849759555,-8.068835226957005e-06,-0.00017114207956557548,1.5751564149013575e-05,0.8838045902582919,5.345692009019878,0.8836941667266058,5.343427465019156,0.00011042353168611019,0.0022645440007220685
mace-mpa-0,crabnet_frontend,full,0,mat2vec+H64,train,all,205570,0.1,1000.0,1000.0,0.019487326667797098,0,256963,205570,51393,mace-mpa-0-baseline,0.019183388605719408,0.04275985219445023,0.9977406747099562,0.019216769090251152,0.0429967947322312,0.9977155664162328,-3.338048453174411e-05,-0.00023694253778096946,2.5108293723374864e-05,0.8595319684854875,5.177482831488825,0.8592627281108687,5.172148142566805,0.00026924037461883987,0.005334688922019382
mace-mpa-0,crabnet_frontend,full,0,mat2vec+H64,train,unique_prototype,171551,0.1,1000.0,1000.0,0.019487326667797098,0,256963,205570,51393,mace-mpa-0-baseline,0.01972145514213209,0.04131416751788648,0.9978377895075075,0.01974985494814819,0.041537109075224746,0.9978143908902616,-2.8399806016099483e-05,-0.00022294155733826315,2.3398617245873332e-05,0.8749831110424829,5.798548332638644,0.8746650214964623,5.789380980568302,0.000318089546020639,0.00916735207034236
mace-mpa-0,crabnet_frontend,full,0,mat2vec+H64,test,all,51393,0.1,1000.0,1000.0,0.019487326667797098,0,256963,205570,51393,mace-mpa-0-baseline,0.020655717256123644,0.045616836939390414,0.997832398431197,0.02066872024136804,0.04584990398669798,0.9978101922847535,-1.3002985244398024e-05,-0.0002330670473075641,2.2206146443437547e-05,0.8525661562119562,5.616941837175896,0.8517665130568357,5.605337938737744,0.0007996431551204886,0.011603898438152349
mace-mpa-0,crabnet_frontend,full,0,mat2vec+H64,test,unique_prototype,43937,0.1,1000.0,1000.0,0.019487326667797098,0,256963,205570,51393,mace-mpa-0-baseline,0.021285263568484203,0.04592854788628702,0.9976546932940613,0.021297574003648373,0.04615476788117153,0.9976315328888526,-1.2310435164170075e-05,-0.00022621999488450784,2.3160405208666468e-05,0.8699450016175995,6.187759692745173,0.8694879664028428,6.1750152376200615,0.00045703521475670694,0.012744455125111465
mace-mpa-0,crabnet_frontend,full,1,mat2vec+H64,train,all,205570,0.1,1000.0,1000.0,0.020196746472990853,0,256963,205570,51393,mace-mpa-0-baseline,0.019564083931806336,0.043535430651871036,0.9977969001886724,0.019595247144966122,0.04376629801923782,0.9977734722608429,-3.116321315978568e-05,-0.00023086736736678548,2.3427927829500206e-05,0.8595874355368025,5.179781116278778,0.8587994143484627,5.171565513176814,0.0007880211883397603,0.008215603101963787
