element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Na,-1.8235695051356775,-1.0777198520661393,0.6421098258254242,-0.3458222263205343,-0.06035344811053895,-0.86321470316373,0.6261111765051858,-1.0088258361199467,-0.6401287430548064,1.920881635670985,2.3086794221132756,-0.44230506284402504,2.4053264512998997,0.6427716622345402,0.3330072979892018,0.3645201037070878,-1.2906055538154027,-1.3400219216740532,1.0160759503834889,-0.0737346862594811,2.0025434341003785,-0.029233142040661943,-1.5169997316434334,-0.3891887946834686,1.4610257458824782,-1.0673633996963467,0.9333320100154078,-0.9807198155794843,1.6548289946423909,0.20598365413453562,-0.04546933480125932,0.9329318351959194
Mg,-0.2582475389566428,0.4837466197825388,0.4413459247402695,1.618407043781179,-0.3555619615715775,-0.2675959983873971,0.32479285580615225,1.7173378889391917,-0.6325531288667458,1.816288497671183,0.32777745598493274,0.19637505945710235,1.784403402021091,-0.14239856751920688,-0.17000894368221375,-0.27243106287010516,0.10129172774751377,0.6948561914474001,-0.7183834418732256,-0.3144463847749817,1.005958655098539,0.8998481656668433,-1.9743430831238626,-1.4157625244621523,1.626350996195197,-1.4319809362754148,0.09142295688300851,-1.0037632433772334,0.01518769942977289,-0.6373173882631535,-1.180091004961995,-0.30352912022810463
Al,0.3613994998406571,-0.22124285074250566,0.0723328206597836,-1.6873342063249508,0.5061928177236963,2.1833651625222497,0.7333013568291477,1.5215537010919027,0.8101870761906734,1.245707574242641,-0.18773637913719016,0.36247114431235683,-1.206198717681316,0.07182954294431339,0.16306040146933556,-0.2445624800443041,0.34592228521235696,1.841162570425064,1.249739203654285,0.4948724455400004,-0.22488917917651752,-0.10402808624117858,0.9372802648025348,-1.119076407115804,0.8508653866144472,-0.11400289292050908,0.6066982092215889,1.0620413997320408,0.6905025046794138,-0.857731600241712,-1.7811205913491472,0.15851658316329073
Si,0.35094137532413766,0.04540168082001461,-0.7412669260397603,-1.2279959466229222,-0.38596663923547175,0.6676241605227566,-1.3432172680040293,1.1473888759578037,1.5601637091058067,1.4005553137105506,-0.8719217590104769,-0.8839630889182625,-1.0031692789075064,-0.7711018776441143,0.12300550205305265,0.011626791021766511,0.7030662587358807,-0.05448991324665534,0.13831212411124733,0.44419917446737484,0.4345179830767435,-0.42850810656549193,1.591421149593956,-0.9314041202040572,-0.16223909147743565,0.1965018946894472,1.1398281508434318,1.7432005312695773,0.8492232558249309,0.5506396553026038,-2.06303817568983,-0.6967255075727197
P,0.3747316007524315,-0.163393210883872,-0.3537739582101528,-0.10681059962016769,1.1782212438626543,0.7179422003153342,-2.0081723778990863,2.5281809585264705,0.2895461760672535,1.1565635457076306,-0.8273548818289771,-2.0340315160613542,-0.9973320034720448,0.5635338002756667,-0.8913768004290485,0.16731142722885695,-0.5946852859380324,1.1551822646191772,-0.4690840452113512,0.45259916769437836,-1.2032749346510723,-1.2509463318023384,1.899542860503382,0.9902120457867359,0.6469330662021391,-0.7403503562262554,1.0198088040849507,0.3949279054363222,1.4846576200060433,1.1141253319804119,0.1767292617314817,-1.4698534443528408
S,0.7563541566447955,-0.9442368901780603,1.1307837728752725,-2.1712604062121845,1.4332068983304185,0.169816773045869,-1.761685854131464,1.3100660081183133,0.7660242006468505,1.082779765503609,-0.7676259531073575,-1.948997469000534,-1.4172525963763534,0.9376645218129469,-0.5666870333782067,1.8115633118720051,-1.27085817171647,0.11465819971259146,-0.30702048557721,0.8989585541523479,-1.5037670457582848,-1.539323047094027,1.7022281308160894,1.7836268428704938,1.0266269397456032,-2.0618545157689803,-0.4408639028586145,-0.7981555661970183,1.7494267075852175,2.0363932164186367,-0.606674989163717,-2.321735422878956
Cl,2.28662110437188,-1.5094855881182632,1.6649394652754554,-1.1536340049496534,-0.5449374584332746,-1.4514749541339884,-1.632353941848888,-0.3038330059322944,1.7241305933899287,1.5274337815032695,0.8157801038223111,-1.3742397754063727,-1.7140179033783967,0.02259411043389833,0.24062716221111813,0.8336979794002818,-2.3985071846037553,0.018392392196297697,0.2544236183397071,1.40210475392086,0.4753199120093163,-0.2049463272514518,-0.762234129258662,2.3438412420937977,1.921336542186614,-2.4323804752126494,-0.41237993869807027,-1.2746802261699264,3.057757752124673,2.620890624684135,-0.37448519119317714,-2.0218962143661865
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,-1.6440592748273013,-1.5084080932669819,1.639689580546603,1.189110017015236,-0.34422185014905216,-0.8491386436286076,0.28334792584887314,-1.0277084727939323,-0.1487602480342421,1.796843503854036,2.3490042513909253,-0.13115814363729467,1.3360155998912149,0.7084048652868403,1.2621615680567455,-0.3325355581750557,-1.650610182413098,-2.1000717691245,1.2718515395136543,0.5435341721952335,1.4339692225485614,-0.034191580487171004,-1.3226658437086094,0.192052979635759,1.7366690716689548,-1.0001243119877683,0.14768899641740554,-1.8175351056098814,1.9601281093910838,-0.633472256890811,1.8736717012116877,0.15907628677807878
Ca,-1.4781412673554057,0.13760068393958286,0.04693053447912243,0.8752261179882685,0.5369929535910676,-0.36544565077626423,0.7220148763437175,0.00788489850680677,-0.593692838990038,1.431073042293082,1.0481495109846783,1.269031522312868,1.7057618059873905,0.8858363418227652,0.7790958351665129,-1.1464244068802707,0.31164313374973784,-1.3831755370419192,0.9696087350347478,0.5978757446357909,0.5116287130875482,1.4634001961048766,-0.943334097046181,-0.6937612282488358,0.9797486037968202,-0.6392632271822508,-0.395228419818142,-1.5885382861879545,-0.5319692357068272,-0.12511998047626413,0.3177486754388325,0.7703544648057425
Sc,-0.24887096340270673,1.2685275137549485,-1.0497027901162588,0.2743606045311341,-0.0712934330566813,0.06542983811559544,0.6669723878206831,1.308337587070387,-1.8696089179612168,0.21893221019240708,-0.13243682432030335,1.1996648812113895,-0.7484935012697544,-2.1584592842025563,-0.19711095379876545,-0.7551702435921923,0.04667902237974611,0.27085192199640123,0.7596574823446636,-0.39310436166263657,0.6048477387113198,0.35573400639232217,-1.599060955096072,-0.3269244331480667,-0.6269368423338124,-0.1929089253905433,-0.6369901828775657,-0.4559558288887819,-1.6428112549769667,0.15779806712846065,-2.08913456023601,0.9904134905375158
Ti,-0.20902056620825515,1.3820104243503595,-1.3997060176145601,-0.006195877699841113,0.47872098574008487,-0.23685025692477651,0.49907833241076105,0.5813830515160069,-0.85267333432624,0.25099293845273024,-1.0768356266487003,1.0816200816776593,-1.2467239601732056,-2.751649425794471,0.14227383527643075,-0.24694208005723994,0.9439853140446154,-0.29870804133103424,-0.7069513311903235,0.032136912525498725,1.2378290368659637,-0.39606950137619706,0.04256703064430637,0.21713696160369672,-0.9606692292944367,1.251470577360165,-0.03566166783995921,0.7770773311212097,-0.6418612459953555,-1.3183771723336795,-1.4697229762811441,-0.3931050579429296
V,0.00539977819104786,-0.15062724279089443,-0.9164970839565787,0.7825548353085306,0.05919970075174137,0.03759579441843766,0.9419595528877703,0.29495588146169494,-0.561944767731236,-0.2117310920030459,-1.2912236099002337,0.756897696053257,-1.2363359663917681,-0.29626572891679226,-0.6794878363411759,-0.5224509148555506,1.8510372866705829,1.1668721950086207,-0.9111904813494112,-0.26295886976675675,1.1414067073756433,-0.8445222942883216,0.34952263786521076,-0.27379447218833125,-0.7542321381087821,1.086943385861427,0.08306723414758377,0.39966418078953,-0.7823847690875343,-1.2606454436403105,0.7174271251325735,-0.4276991441861932
Cr,-0.31630404949223306,-0.07513688169200099,-0.6471106709666953,0.39412513071889843,-1.5843913137892915,0.6065198027899789,1.5512217353742812,0.0972527797479728,-0.3614148414260523,-0.1594902890523893,-1.2019386911768253,1.094204961321956,-0.2502201830345783,-2.1551171365378976,-0.6419723390049309,-0.2938550897952069,1.63094155075264,0.5864921390295655,-0.19563559022978755,-0.9573100294310961,1.161168230862321,-1.2052106994210743,0.18273593542663846,-0.5457555282624142,-0.5340757315837763,0.5105883382597826,-0.5140869164659553,1.001250416227079,-1.0387700492813396,-1.0074736718353816,0.6296975312597815,-0.7590828228028319
Mn,0.5031676074557815,0.4330570621413741,-0.23456937665128683,-0.4465367833169856,-2.5641836266007796,-0.33626477867861876,1.4996561722405026,-0.1856416615747058,0.47917281912030907,-0.009508565086473957,-1.7143481137427516,0.9013923252182529,0.19167068869688111,-2.0553674158834436,-0.8083062105228916,-0.4682089919592306,1.8346783454885442,1.0292645080845753,-0.5461792145774279,0.038392571210532536,0.9948052356659286,-1.1131773694513354,0.19523522825871245,0.3629527173199829,0.04667486676946318,0.9756555263839125,-0.40381719500373187,-0.06219798995167794,0.07816636598573626,-1.6274103343749038,0.685119763309166,-0.40761719064273744
Fe,-0.1589158728461306,0.24552555328132714,0.10314060901037878,0.9231417094024132,-2.247879730911844,0.42828274322382204,1.6165239934913782,-0.13237177059698832,-0.7988045401577225,-0.22072651862013354,-1.049595509088057,1.2724304735243768,0.5009355393188437,-1.6711534839512745,-1.9724532142913762,0.250441617722879,1.3224897447005253,0.23999907094491169,-0.19242492580814724,0.7099276008901013,1.7290825395218943,-0.8294274824314507,0.009988092688291428,0.5909444867972314,-1.2944752228449663,1.1053438727515323,-0.2076455193308563,1.1346442163710453,-0.37024721684907863,-1.4854217632879638,-0.07480462801400851,-0.46685333210499713
Co,0.11574728477549374,-0.3829032944120951,-0.031638607921968036,1.4031803933374403,-1.8557010171934207,1.1122142348712016,1.7280880425671166,0.1176114396367972,0.05987362945471887,-0.20689658645883274,-1.547193278975875,1.1346353111483083,-0.566315360052816,-0.5658453893027358,-1.691370282294889,-1.0307841543446299,0.42181903583553915,-1.2472823303214964,-0.4986534262599385,0.5405637506732179,0.9635778921069671,-1.4411061250152142,-0.3308206460896432,-0.0907332336634127,-0.7905654262419515,1.2149173833369236,-0.29716861304871484,0.11950888809250346,-0.7546019464232411,-1.628851470619558,0.6919016604503043,0.5175486290059876
Ni,-0.3757378510201714,-0.2042680729389604,0.35246579107181586,0.1451936343778941,-3.242886820054436,0.6507385117170276,1.0508184242423366,-0.1565696131914235,0.862511723516089,-0.42274256687250783,-1.3353691307758246,1.510507879758133,-0.6124145287825431,-0.6965265171609483,-0.7494492041642529,-0.17704494868578752,0.06993608254156837,-1.637775321049857,-1.6019934434553746,0.7197428044841835,0.8036016077995114,-1.2024531294700682,0.719678585359093,1.3012313384333367,-1.4093862893911953,0.5056606238767156,0.7439399065517133,-0.7311724777871046,-1.0250036554821882,-0.9383367038284975,1.5820741788584352,0.7829519009042074
Cu,-0.1459644359264925,-1.1229611406287086,0.7794041073110127,1.277643700688064,-2.8695692841483895,1.4164663781647762,1.5649544221422007,-1.638809955883584,-1.0460912104461706,-0.4770295406259661,-1.068764504517486,0.657610791083363,0.12423955737586731,-0.6116102530919948,-0.5377291827826747,-1.003066273103467,0.9034222956139267,-1.9020953998933114,-0.7337305449401033,0.666684421944798,0.5080612357059522,-0.9959441127143901,1.1840231196928817,0.34125148688198104,-0.26780102862714966,-0.6667472899760091,1.2248513771236174,0.05622979315351488,0.4229237784136804,-0.29108922363887757,1.92575806659458,0.9458440580056249
Zn,-1.0283013426392316,-0.9915818765802462,1.2003852465901386,-1.479918170648073,-1.2443978229221915,1.1575107430867186,0.45218607369985586,-1.6116183875346524,0.14695345543293534,0.31678411648029,-0.35128428446933807,1.9478282602158883,0.5363639038889756,-0.12757242786074705,-1.5262488592979555,-0.8138855828210193,0.863676102115142,0.5064402479331179,0.6682137802004714,0.48526029358976597,-0.3958745325470996,-0.43430830197592873,0.4036384037032142,0.1493483626505353,0.15493318481556884,0.9248729666955376,2.4460584724114276,-0.19463249281986356,-0.24068735588268764,-0.18010056630753948,0.7651036271556871,0.27860446171421427
Ga,-1.522955939044457,-0.5390280200564892,-0.1418364289956469,-1.010037378843457,0.19572004935601559,1.0518373264852703,0.3425377062402863,0.13467239623276855,0.6933867109539323,1.029604399773255,-0.7049139398333619,0.5044815323486453,-1.0592938866288268,0.11854197778799443,0.21069114963546387,-1.1309732613456196,-0.22816099393889755,1.4475792682151978,1.98345222362203,0.39554503444260203,-0.04639672311787241,-0.4707208864476477,0.7232232476900644,-1.2092589380462044,0.750232816406166,-0.18035902759928113,1.586907523751181,1.3906394622761118,-0.08337246763367816,0.24819822547995174,-1.2138638056786364,-0.21753083799729428
