element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Na,-1.0046708260604558,1.4993323995326588,0.9573452515244786,0.22332026369081992,0.9954843712093852,-1.017146364484408,-1.3664118580015188,1.5626474609361685,-1.103654264748176,-1.4968162966054843,-0.41657614368612217,-0.4043213703756506,1.0037881301448006,0.20095989143741544,1.772482211577629,0.23906292557766698,-0.18572047229432392,1.1297235075751966,-1.1197970840511828,0.3644652717209451,0.07411760583033478,1.6565261370050528,-0.3581112555557898,0.38875512110936167,-1.7287293521370333,-0.8836559200858576,0.08129105924209885,-0.6918946703588953,1.814739797624445,-1.3832237702362353,-0.06334505582946727,0.8664720290845501,1.1055979503162832,1.0776333455470433,0.3878737186122021,-0.2902171306515635,0.1605153450332656,0.707746906370325,0.11298976346167562,-1.5267839253207247,-2.2935867830259995,-1.01368434274176,2.055704699081405,-1.6783604824893352,-1.058507959446641,0.19605661683485612,-1.4138091149142993,-0.28316309389030186,1.8991834527519678,1.7414340477418326,-0.11229253216293714,0.7859940276475755,1.0618071778698912,-1.637618304691032,0.2503135713429012,2.5278408859238075,0.26294604888891715,-0.0388666702002709,0.004923576665114774,0.7594172073564326,0.5488562226470508,-1.4466483022151455,0.17123023737790527,-1.3092165200361536
Mg,1.8421427981431546,1.542977898551055,0.5714229089849803,-0.3591603463339136,-0.7562215877100867,-1.3400894299782873,0.7243448085674722,0.09095687685330456,-0.6486846629588695,-0.7925669295195114,-0.5809974759677353,-0.5816919957027296,0.7534785837053689,-0.8198071079045797,-0.2826254702053799,-0.6448926916600382,-0.5884225153039855,2.2476885486783926,-2.014478861581773,-0.02869317954056496,-0.30075910347073087,1.1477851938392005,-0.330638980979393,-1.9221491929191452,0.3442300630144162,0.2485479193070526,-0.1987711190173708,-0.7765165160040729,-0.14740534861031224,-0.816709619503847,0.8324653858714355,1.716654951925736,-0.77494812877308,2.463932896580717,-1.446735858529081,-0.34076140028509905,-0.5423369515590976,-0.12043463387895435,0.6373773826657841,-0.5622865922234422,-1.5486370708406176,0.8480542537644451,1.2023522077234265,-0.0756609188247109,0.20316322605179576,-1.1196898772784796,-0.14451596631970334,0.26870530650371705,1.1594652108867032,0.7562878904497264,-0.717438070035957,1.8633507496038657,0.05948103361359091,-0.8842926490415995,-1.3401371063237673,1.954136630245794,-0.7200365828131188,0.35723349516096115,-0.41591895256741357,1.887335374533288,0.019648403504523546,-0.0028621303105402815,0.5204690981669398,-0.67137484809553
Al,0.14372800789180457,0.15704232238283353,0.7202035933339299,-0.11875254938804712,1.6742893877483773,-1.276655615669982,0.8408944320726874,0.4531484861286003,0.07338824316061765,0.6080132516390878,-0.9682043070507934,1.5523141536154208,0.49650952953451344,-0.9458425442082055,1.463117925850761,0.0034683526358115107,0.4302143256274459,0.9861752862811093,-1.778871842604972,0.8293838255610212,0.03395646685965143,-0.8858585750038271,-0.09094450084042142,-2.3232873773879175,0.19950003619893292,0.2609464424631857,0.6177891342357267,0.6679315706506579,-0.4816130356809895,-1.2983622374612251,2.0567057680205685,1.0594363746545536,0.21530182370954937,0.34258051525504246,1.6852657404571023,0.9920805365621096,-0.6898517358428754,2.112074161802363,-0.8835479647007971,-1.03332629119984,-0.45651566793527604,-0.4047459098027199,-0.5943117323996048,-0.5242381416930718,0.3784803892138436,0.2652547640599979,1.1984649643110605,0.014731856535498142,-0.4836494141007244,0.028600721065882743,-1.912008521710743,0.9725253072665845,0.3497885979584181,-0.6664025837736551,0.7242610604532635,0.6925406920502373,-1.2966812768689393,-1.1094881121686437,-0.0815762244171559,-0.21687541144855316,0.03954856821415592,-0.6556989591739245,-1.03134983617626,0.6263427366213911
Si,1.4763032074578393,-0.5030123889366305,-0.6033637072970419,-0.5600746355270191,0.770543661206132,-0.5952844222797944,0.8785504750819936,-0.6051897851281307,0.5384769898005953,-0.398810928160284,-0.41030100117384627,1.2304880690227908,0.37659329405015574,-0.11105313620790089,0.46461744059617693,0.2507314298032346,1.352618909910355,-0.33850899020784,-0.9448063889204243,1.5574394355459302,-1.3509568017876914,-0.5195171580343044,0.25080024862738326,-1.951160461574701,1.3872490965989348,0.048170362695624566,-0.25341264598181806,1.3220282971966204,0.2381195320706444,-2.360365027235757,1.9509365243002805,-0.006878515358545534,-2.153094697613952,-0.28927572473313246,-0.5505684110341085,0.9267279787884902,-0.32989400340923625,2.552002042602352,-0.23869364140138175,-0.7445958863770613,0.26460902716811163,0.7613002272785321,0.16577099366851855,0.6076242175405743,1.1240583092787928,-0.7489769913303923,0.8516746594987966,1.2436170539752964,0.0605676007220162,-1.1059724045379806,-1.542988794915252,0.5094112496611777,-1.251758534979147,-0.05655930779356977,0.5652401130549781,-0.13097881489925084,-0.6654185324946839,0.4628761382122166,0.6644196228176448,0.4751097811837079,-0.25902835398759533,-0.9217323154724721,-1.0893545904637036,-0.0671321900003642
P,-0.46421703982751145,-0.8195312174416264,0.8467130474951926,-1.0684009430027728,0.3194130894904969,-0.028851408651339457,0.6773219738424497,-0.20447654342081778,-1.4136707686850583,-0.038399628008669674,1.7243692675333435,0.5733857515221756,-0.9929715625880114,1.2811872164464646,0.4968902429790261,0.7497402010560127,1.4304122449668317,0.7386848616080864,0.5046706411778352,1.8667845478935077,-1.726395680374726,-0.27676719032219016,-1.4235764576467935,-1.005128483096408,1.9465986220119302,-0.4168680238739125,0.31384198848408285,1.1297419915613696,-0.012362308377327933,-1.216366175109212,1.566239061203185,-0.7534957537831696,-1.4098987208979998,0.034810453411432934,-0.38898319338111664,0.029071766384404354,-1.5856445311794582,-0.31595898865024413,-0.30282069514860654,-2.5949281076876143,0.4577092459809679,0.2487825501634521,0.8696730661945857,0.4998536655815568,1.1565116145034577,0.9361687731366726,0.301056217990526,-0.5269736860482608,-0.6603178412970263,-1.6160057699914447,-1.8077526311604908,0.7360073642023512,-2.075491257904701,-0.460724507680995,1.736006620035681,-0.8029981181521051,-0.18729195638645035,-0.10420925678685503,1.8891255743056945,0.5121439878302686,-1.3840199581183608,-0.6334637401812665,-1.215976975890309,0.9337862584568057
S,-0.10357072582932958,-1.222421638636892,1.2043013376004525,1.1402735359165264,1.2429422606340994,-0.3969055935393555,0.278258699624527,1.2027280455202638,-1.1957982122235167,0.10515356569288878,1.517902952285278,0.6206532828083209,-1.7188154445829227,1.4465055474493869,-0.556821914759593,0.31900772479642564,1.9479166939779717,-1.4751007453227345,0.2607819641136795,1.3421903211394006,-2.275521921587197,0.16619523209584894,-1.796946947094647,-0.9057847427922567,0.2972319866172691,-0.17232734550807927,0.03522499665185153,1.1230965837356621,-1.4503785817299903,1.6196214250885563,0.22349946677120505,-1.779851027514377,0.6411589254003246,-1.4292589302067704,0.8272202522858416,0.21807244565849307,-1.8875904255518148,0.43772011793474996,-0.9200526962108116,-2.4481407280561602,1.0157871051997145,0.7477543315113849,1.3584662925337685,0.2186899577170291,0.018517921258706573,1.204153080192801,-1.544657582693205,-0.959620453527246,-0.6579006948383248,-1.9883327381560023,-1.6950848382308088,1.6560084897303806,-2.5284380999612126,-2.049305482106208,-0.8417930371305512,-0.15152525280872323,1.3022388799007347,2.1491195328120187,1.4829732050925095,1.1185461811124053,-2.0290088596899567,-1.5699543109915952,-1.4114466313581802,1.070099940007224
Cl,-1.423400355337402,-0.03686484110837486,1.776608572888285,0.7993470120797116,-0.2546894478285054,-0.5852841168493645,-0.40369923493844406,2.4749270045958696,-1.3461830881569559,-0.959481326954188,1.9463363699547096,-1.0341360912175457,-1.389675491492275,1.2337830735624955,0.9082473350022406,-2.071955091451166,2.52408674952642,-1.7669638130320933,0.4011874913880075,1.593768564273542,-1.8218501090140926,1.515325026927304,-1.6864349998998562,-0.23341463296354417,-1.2498116187435402,-1.0585717069384173,-0.11897578527002196,0.8799565738778224,0.815454390703437,-1.8145838640715002,-1.376018412161334,-1.4543039715116608,0.2485476638845896,-1.090995757867959,2.927009253332524,0.9215199663298995,-2.194803256420887,-1.44851720426619,-0.4856742689833144,-1.2637717811036728,0.002833935320832438,-2.1881209664728107,2.1236067853621847,0.5324282658406504,0.2994948276906697,1.6643548023921784,-2.120971028887921,0.2279134825754689,0.6772919274440298,-0.8817360197274997,-0.8738352586661512,1.7516285014529451,-1.9788779725255263,-2.879415934067795,-1.300054741923778,1.869406885491082,2.4334226219380533,2.09899625376791,0.7498666342337842,1.443950923326527,-1.0329219827784881,-1.4847799264454469,-0.8281402181921566,-0.13044965314009666
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,-0.8645476621687052,0.4600682984247004,1.2472320519415339,-0.380666549582143,1.132066069720168,-0.9789582869488118,-2.5134285311170927,2.4608309367931165,-1.345287279257917,-1.4347515419927166,-0.1642692976326136,-0.6275491051699551,0.8371523543289453,0.6627837047258504,1.3439275097171774,0.32275820671423056,-0.2776068221282005,-0.008563279492382725,0.7351599070276683,0.7625344298914554,1.1829728906088173,2.002031247136643,-0.3556740413283576,0.6719455580870733,-2.0020326889639546,-1.587345565202906,0.8077861252739799,0.025199424302514456,1.1978589486616626,-2.0983507842233218,-0.9100172365216812,0.3774208745548898,1.8966452625906876,-0.9135641882674419,0.016510619388309257,-0.1276115460408025,-0.8153615138770616,-1.270290367874608,1.0251454942846356,0.5906153880607303,-2.2864930415569518,-1.2689666597271212,1.8343515950147218,-1.9140144847212746,-1.3990307334502157,0.09507196782060107,-2.172597240558652,0.5443094250348466,1.639007730534974,1.7552932923195181,-0.6207189026150705,1.2704980115270943,1.3031497896105035,-1.8571677958356663,-0.6572659644205274,2.051946650397845,0.9383125832378365,-0.8085314420994701,0.10184296040377684,1.5231843947972465,-0.45993906482211666,-1.2661247160816897,0.6133200544404735,-0.8763916586044097
Ca,0.9522726935298403,1.5097496669632717,0.26876250834084103,-1.374771443336736,0.5801428696933768,-1.0509844948029883,-0.6472189587137342,0.4830131307504199,-0.040039683560808684,-1.1537062971926588,0.2734171939866092,0.6914698917322721,0.6133631756055878,-1.507729011011355,0.7072687410748106,0.34987833751571146,-1.2726830773700721,1.0734059838139403,1.0502726441374433,0.5815467996305244,0.5471888896669103,1.1293455840224873,0.7439504553438208,-1.1351098246105937,-1.5799352345407667,0.29904420894627126,0.5798236861638792,-0.8924335395775326,0.19621458213604684,1.1369535841987322,-1.1377046615719353,1.0375577533467804,-0.19191067171992152,-0.8359517275663734,1.4665549878270927,-0.8959731495305796,0.778668090226244,-0.28010019763203164,0.6356224664701636,-0.45129727545013903,-1.3792001159663845,-1.8042194367187743,0.6424996253654378,-1.0136214689069478,-1.2841369968003136,-0.8225584983514244,0.24314113365575152,-0.01963074430766251,1.6636195852358717,1.6043699419699116,-0.7391567563869436,-0.18095200698015937,1.042302269011919,0.09380953830389586,-1.390322210350433,0.8201282761511551,0.6232736802365193,0.31550694066723145,-0.94237244025626,0.9136392708226605,0.10637680014290314,-0.41035689170276674,1.0070309211493151,-1.494250053844704
