baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
orb-v3,crabnet_frontend,full,3,mat2vec+H32,test,unique_prototype,43511,0.0,1000.0,1000.0,0.011133266212351691,0,256963,205571,51392,orb-v3-baseline,0.010431946393709802,0.028546219787745224,0.9990137905260484,0.010431946393709802,0.028546219787745224,0.9990137905260484,0.0,0.0,0.0,0.9382326729279495,5.598278052396566,0.9382326729279495,5.598278052396566,0.0,0.0
orb-v3,crabnet_frontend,full,4,mat2vec+H32,train,all,205571,0.05,1000.0,1000.0,0.011513797837131275,0,256963,205571,51392,orb-v3-baseline,0.011384666726876776,0.03580946382857307,0.9984353396293969,0.011382196562013839,0.03594005160222704,0.9984239070049807,2.4701648629367468e-06,-0.00013058777365396873,1.1432624416163328e-05,0.9106541715949413,5.67808600563364,0.9109973029485743,5.675661543673616,-0.0003431313536329528,0.0024244619600235495
orb-v3,crabnet_frontend,full,4,mat2vec+H32,train,unique_prototype,173469,0.05,1000.0,1000.0,0.011513797837131275,0,256963,205571,51392,orb-v3-baseline,0.011563916436427247,0.03518163919673285,0.9984445436007554,0.011557888542498061,0.03530407192152777,0.998433698731969,6.027893929186345e-06,-0.00012243272479491724,1.084486878644153e-05,0.9299338034532204,6.3389906537408045,0.930449799827302,6.33647375886715,-0.0005159963740816176,0.002516894873654252
orb-v3,crabnet_frontend,full,4,mat2vec+H32,test,all,51392,0.05,1000.0,1000.0,0.011513797837131275,0,256963,205571,51392,orb-v3-baseline,0.011612375184651235,0.03970547142736462,0.9982637520355506,0.011599727659993203,0.03979575910058641,0.9982558468267072,1.2647524658031609e-05,-9.028767322178527e-05,7.905208843417277e-06,0.9169093893978713,4.991234599496601,0.9169269868163288,4.990256714379444,-1.7597418457526715e-05,0.000977885117157129
orb-v3,crabnet_frontend,full,4,mat2vec+H32,test,unique_prototype,42019,0.05,1000.0,1000.0,0.011513797837131275,0,256963,205571,51392,orb-v3-baseline,0.011488418832800305,0.03252904467573905,0.9987797696524073,0.011472481694392913,0.03262080241702542,0.9987728759057515,1.593713840739204e-05,-9.175774128637043e-05,6.89374665585607e-06,0.9353552612843514,5.596664319032976,0.9355917728275567,5.5960549752535576,-0.00023651154320525336,0.0006093437794181256
orb-v3,crabnet_frontend,full,0,mat2vec+H64,train,all,205570,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.011287991108572653,0.03643935933427992,0.9983592295023543,0.011287991108572653,0.03643935933427992,0.9983592295023543,0.0,0.0,0.0,0.9139490786978737,5.43944905122339,0.9139490786978737,5.43944905122339,0.0,0.0
orb-v3,crabnet_frontend,full,0,mat2vec+H64,train,unique_prototype,171551,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.01138946336218195,0.034047823275792304,0.9985314840684607,0.01138946336218195,0.034047823275792304,0.9985314840684607,0.0,0.0,0.0,0.9327923191221854,6.097775427612593,0.9327923191221854,6.097775427612593,0.0,0.0
orb-v3,crabnet_frontend,full,0,mat2vec+H64,test,all,51393,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.011976541574977864,0.03793599568619925,0.9985008948541072,0.011976541574977864,0.03793599568619925,0.9985008948541072,0.0,0.0,0.0,0.9051778706165338,5.889593711901795,0.9051778706165338,5.889593711901795,0.0,0.0
orb-v3,crabnet_frontend,full,0,mat2vec+H64,test,unique_prototype,43937,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.012133822214753318,0.03757983060033432,0.9984298402068614,0.012133822214753318,0.03757983060033432,0.9984298402068614,0.0,0.0,0.0,0.9263965475905058,6.507340582085849,0.9263965475905058,6.507340582085849,0.0,0.0
orb-v3,crabnet_frontend,full,1,mat2vec+H64,train,all,205570,0.05,1000.0,1000.0,0.01134320238169383,0,256963,205570,51393,orb-v3-baseline,0.011266876477491802,0.03630161615780736,0.9984682058579915,0.01126501768195847,0.03641682794815985,0.9984584674046654,1.858795533332333e-06,-0.0001152117903524888,9.738453326080254e-06,0.9133696344783642,5.438623720771327,0.91357345532457,5.437916877744147,-0.00020382084620584884,0.0007068430271797155
