baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
orb-v3,crabnet_frontend,full,mat2vec,test,all,0.01142930997645129,0.0007475296674618608,0.036482001064724046,0.004418764602859077,0.9983631046248309,0.0004234225773186581,3.6117132239624207e-06,5.822216764346968e-06,-4.568413048130632e-05,6.503964555301953e-05,4.392915816819887e-06,6.423485577362241e-06,0.9117391263845016,0.006168962415580974,5.5639799591474155,0.511338916693595,-0.00012427681959854554,0.00017278458290857616,0.0015435599620078123,0.0033264962999237715,0.02,0.027386127875258306,863.2455532033676,305.7922392626484,863.2455532033676,305.7922392626484,0.011407363726204241,0.00017130317701432302,51392.6,0.547722557504917,11.0
orb-v3,crabnet_frontend,full,mat2vec+H32,test,all,0.011429332570564343,0.0007476660043451267,0.03648102787055105,0.0044182496576102934,0.9983631998513649,0.00042335450068803647,3.6343073370154883e-06,5.577491365996041e-06,-4.6657324654302e-05,6.655079626053107e-05,4.488142350700386e-06,6.577538728627339e-06,0.9117670128467825,0.006277860146117901,5.563952199157328,0.5109800505225753,-9.639035731763279e-05,0.0002058392233147439,0.0015157999719198401,0.0028741401919044644,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011407066745011536,0.0001714222349765555,51392.6,0.547722557504917,12.0
orb-v3,crabnet_frontend,full,mat2vec+S32,test,all,0.011429422269711402,0.0007476817403757559,0.03648092482011275,0.004418117804712293,0.9983632078374086,0.0004233562265877948,3.724006484073436e-06,5.784553845898813e-06,-4.676037509259573e-05,6.656428692882838e-05,4.496128394504417e-06,6.5734863303106595e-06,0.911849524694335,0.006194758060859535,5.564071544968258,0.5112978161080101,-1.3878509765041792e-05,2.639158030431972e-05,0.0016351457828497119,0.003389643905065285,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011407249224481105,0.00017132196462864546,51392.6,0.547722557504917,13.0
orb-v3,crabnet_frontend,full,MDS_E_64_cos_zscore,test,all,0.011430139012846851,0.0007479980466278003,0.03649539629564889,0.004426787259857412,0.9983618176226802,0.00042425991822325553,4.440749619523399e-06,7.046356688474791e-06,-3.2288899556462414e-05,4.594320257717236e-05,3.105913665990556e-06,4.5386931426464345e-06,0.9118320385339895,0.005973745054648439,5.565051055827287,0.5129933186731206,-3.1364670110511914e-05,0.000380743326331523,0.0026146566418789874,0.006692772383165379,0.02,0.027386127875258306,316.22776601683796,0.0,316.22776601683796,0.0,0.011407300702133324,0.0001713110274860874,51392.6,0.547722557504917,14.0
orb-v3,crabnet_frontend,full,orb-v3-baseline,test,unique_prototype,0.011539300959002094,0.0006985948586849549,0.03460741034181887,0.003950921517861783,0.9984760733625933,0.00041547416565816176,0.0,0.0,0.0,0.0,0.0,0.0,0.9312047442099933,0.0056456275011210755,6.2194499656410045,0.5825922938747571,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43097.6,818.5540910654594,1.0
orb-v3,crabnet_frontend,full,MDS_E_32_cos_zscore,test,unique_prototype,0.01154220771092845,0.000698277491438438,0.03460053237568976,0.003955272042153356,0.9984765905582732,0.0004159373537793901,2.9067519263570317e-06,6.499694901062786e-06,-6.877966129106849e-06,1.537959981162401e-05,5.171956799499e-07,1.1564846980372015e-06,0.9310856768861072,0.005535170785643169,6.220441200938059,0.5812691853376749,-0.00011906732388624607,0.00026624263010863067,0.0009912352970545158,0.0022164695059110943,0.01,0.022360679774997897,1000.0,0.0,1000.0,0.0,0.011408452040526375,0.00017190440474812655,43097.6,818.5540910654594,2.0
orb-v3,crabnet_frontend,full,MDS_32_cos_zscore,test,unique_prototype,0.011543090909343658,0.0006981930184140975,0.03460034589275497,0.00395539076435474,0.9984766045734517,0.0004159499430082641,3.7899503415636525e-06,8.474586595084873e-06,-7.0644490639065746e-06,1.5796588330479856e-05,5.312108584565322e-07,1.187823589894825e-06,0.9310113291117943,0.005471641705676816,6.2190215776876245,0.5831657875112738,-0.00019341509819896795,0.00043248930744768947,-0.0004283879533808488,0.0009579045845015887,0.01,0.022360679774997897,316.22776601683796,0.0,316.22776601683796,0.0,0.0114082335444176,0.00017173052013512744,43097.6,818.5540910654594,3.0
orb-v3,crabnet_frontend,full,MDS_F_32_cos_zscore,test,unique_prototype,0.011543587582356865,0.0006994339728901242,0.034590267363964186,0.003946966505264379,0.9984776317517199,0.0004147880449556254,4.286623354771146e-06,6.9430361128522845e-06,-1.7142977854688047e-05,2.403276410533189e-05,1.5583891265658067e-06,2.3020138664750333e-06,0.9309958316361187,0.005638191654984909,6.220789913097419,0.5827807484692518,-0.00020891257387483096,0.0002968027384352096,0.0013399474564144143,0.0021090833728055407,0.02,0.027386127875258306,272.98221281347037,96.69999668731373,272.98221281347037,96.69999668731373,0.011407424557252877,0.0001715137916137883,43097.6,818.5540910654594,4.0
orb-v3,crabnet_frontend,full,MDS_F_64_cos_zscore,test,unique_prototype,0.01154379888639517,0.0006996991736437409,0.034581261507308406,0.003945042815119728,0.9984784478807083,0.00041444472289446947,4.4979273930743215e-06,6.953784148756439e-06,-2.6148834510467122e-05,3.660884001589816e-05,2.37451811497813e-06,3.5002105076212034e-06,0.9310576624565664,0.005609311638362696,6.219867156948778,0.5836508536331207,-0.00014708175342699193,0.00022578580699576518,0.0004171913077728462,0.0021232405110709865,0.02,0.027386127875258306,1.0,0.0,1.0,0.0,0.011407159873884468,0.00017103652675305974,43097.6,818.5540910654594,5.0
orb-v3,crabnet_frontend,full,MDS_64_cos_zscore,test,unique_prototype,0.011543830036424636,0.0007000405115537749,0.0345780167847113,0.003944428019243631,0.9984787405410097,0.000414330400512088,4.529077422540245e-06,6.599988216983137e-06,-2.939355710758068e-05,4.110621086804258e-05,2.6671784165266386e-06,3.924756253780675e-06,0.9310251421313632,0.005653216154153059,6.21963668990973,0.5834853263050085,-0.00017960207863021438,0.000249937557229298,0.00018672426872488047,0.0016573760088444927,0.02,0.027386127875258306,10.0,0.0,10.0,0.0,0.011407337937881854,0.0001711095195761812,43097.6,818.5540910654594,6.0
